id,title,genres,overview,director,cast,runtime,release_date,rating,poster_url,trailer_url
1,How to Train Your Dragon,Fantasy | Adventure | Animation | Family,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",Chris Sanders,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",98,18/03/2010,7.84,/static/posters/How_to_Train_Your_Dragon.jpg,https://www.youtube.com/embed/1huZhKwhIQc
2,Inception,Action | Science Fiction | Adventure,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",148,15/07/2010,8.369,/static/posters/Inception.jpg,https://www.youtube.com/embed/cdx31ak4KbQ
3,Room in Rome,Drama | Romance,"A hotel room in the center of Rome serves as the setting for Alba and Natasha, two sexy and recently acquainted women, to have a physical adventure that touches their very souls.",Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles",109,07/05/2010,6.41,/static/posters/Room_in_Rome.jpg,https://www.youtube.com/embed/27gpqR5ADUs
4,Tangled,Animation | Family | Adventure,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",100,24/11/2010,7.608,/static/posters/Tangled.jpg,https://www.youtube.com/embed/gsYKF8ecC8g
5,Grown Ups,Comedy,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.",Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",102,24/06/2010,6.395,/static/posters/Grown_Ups.jpg,https://www.youtube.com/embed/Nk1ERmswxsY
6,Shutter Island,Drama | Thriller | Mystery,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",138,14/02/2010,8.201,/static/posters/Shutter_Island.jpg,https://www.youtube.com/embed/qdPw9x9h5CY
7,Harry Potter and the Deathly Hallows: Part 1,Adventure | Fantasy,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter",146,17/11/2010,7.741,/static/posters/Harry_Potter_and_the_Deathly_Hallows_Part_1.jpg,https://www.youtube.com/embed/MxqsmsA8y5k
8,The Karate Kid,Action | Adventure | Drama | Family,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei",140,10/06/2010,6.6,/static/posters/The_Karate_Kid.jpg,https://www.youtube.com/embed/XY8amUImEu0
9,Iron Man 2,Adventure | Action | Science Fiction,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",124,28/04/2010,6.8,/static/posters/Iron_Man_2.jpg,https://www.youtube.com/embed/BoohRoVA9WQ
10,Despicable Me,Animation | Family | Comedy,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",Chris Renaud,"Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",95,08/07/2010,7.248,/static/posters/Despicable_Me.jpg,https://www.youtube.com/embed/zzCZ1W_CUoI
